mu,sigma,pstar_true,pistar_true,CLferror,CRferror1,CRferror2,CRferror3,CRferror4,CRferror5,estcr1,estcr2,estcr3,estcr4,estcr5,eprice_T,beta1_T,beta2_T,,True World
10,11,11.99669211,10.26870569,0.020200431,-0.006999415,0.019247476,-0.057029144,-0.089173683,0.078448418,12.00369153,11.97744464,12.05372126,12.0858658,11.9182437,12.01689254,1.709500279,-0.071129856,,ChoLibgober
10,11.001,11.99737812,10.26886108,0.009204129,-0.129276267,0.09184921,-0.090428977,0.042026082,0.019771844,12.12665439,11.90552891,12.0878071,11.95535204,11.97760628,12.00658225,1.710999364,-0.071252623,,ColeRoughgarden
10,11.002,11.99806413,10.2690165,0.027878947,-0.145142067,-0.029368347,0.047391107,0.043138719,0.023865108,12.1432062,12.02743248,11.95067302,11.95492541,11.97419902,12.02594308,1.708039965,-0.071014149,,
10,11.003,11.99875014,10.26917195,0.053353815,0.040901346,0.06925767,0.003650471,0.032217546,-0.034274775,11.95784879,11.92949247,11.99509967,11.96653259,12.03302491,12.05210395,1.704494897,-0.070711404,,
10,11.004,11.99943619,10.26932744,0.034112256,0.0893901,-0.02583423,-0.140459388,0.007195791,0.0261631,11.91004609,12.02527042,12.13989557,11.9922404,11.97327309,12.03354844,1.708380264,-0.070981297,,
10,11.005,12.00012223,10.26948296,0.016792786,0.140300717,-0.009425748,0.008400874,0.027636596,-0.030013106,11.85982152,12.00954798,11.99172136,11.97248564,12.03013534,12.01691502,1.709920206,-0.071144617,,
10,11.006,12.00080832,10.26963851,0.046338835,-0.020374997,-0.025229198,-0.068332966,0.009396896,-0.047648064,12.02118332,12.02603752,12.06914129,11.99141143,12.04845638,12.04714716,1.70655012,-0.070829454,,
10,11.007,12.00149437,10.26979409,-0.000328541,-0.107626417,-0.078538657,0.071401699,-0.060710805,-0.021310418,12.10912079,12.08003303,11.93009267,12.06220517,12.02280479,12.00116583,1.711768884,-0.071314937,,
10,11.008,12.00218046,10.26994971,0.020215274,-0.098372735,0.080068463,0.093506266,0.022765622,0.029724218,12.10055319,11.92211199,11.90867419,11.97941483,11.97245624,12.02239573,1.709475939,-0.071098727,,
10,11.009,12.00286658,10.27010536,0.002566481,-0.075828069,0.004241178,-0.158832432,-0.020853425,-0.017935042,12.07869465,11.9986254,12.16169901,12.02372001,12.02080162,12.00543306,1.710591788,-0.071238103,,
10,11.01,12.00355267,10.27026104,0.008476961,0.043594956,0.026727203,-0.075036628,-0.098117086,-0.145914207,11.95995771,11.97682546,12.0785893,12.10166975,12.14946687,12.01202963,1.710315514,-0.071190618,,
10,11.011,12.00423879,10.27041676,-0.019407697,0.007330284,0.03784233,-0.001494796,-0.06473442,0.080795389,11.99690851,11.96639646,12.00573359,12.06897321,11.9234434,11.9848311,1.714832039,-0.071540451,,
10,11.012,12.00492496,10.2705725,-0.016179496,-0.001030194,0.010628204,-0.047684485,-0.016091048,0.02745381,12.00595515,11.99429675,12.05260944,12.02101601,11.97747115,11.98874546,1.713961898,-0.071479528,,
10,11.013,12.00561108,10.27072828,-0.023708712,-0.113995923,-0.062973804,-0.062627361,-0.073891133,-0.123299302,12.11960701,12.06858489,12.06823844,12.07950222,12.12891039,11.98190237,1.714778955,-0.071559428,,
10,11.014,12.00629725,10.2708841,0.02296712,0.033701272,-0.047777459,0.004530101,0.002645982,-0.001478679,11.97259598,12.05407471,12.00176715,12.00365127,12.00777593,12.02926437,1.708616567,-0.071019315,,
10,11.015,12.00698341,10.27103994,0.025590922,0.089125907,0.036737949,-0.02393475,-0.025668051,0.048795013,11.91785751,11.97024547,12.03091816,12.03265147,11.9581884,12.03257434,1.708347427,-0.070992755,,
10,11.016,12.00766962,10.27119582,-0.002613533,-0.01525723,-0.034575039,-0.007016191,-0.028479238,-0.054828833,12.02292685,12.04224466,12.01468581,12.03614886,12.06249845,12.00505609,1.711461054,-0.071280269,,
10,11.017,12.00835582,10.27135173,0.003228004,-0.103930222,-0.058379097,0.027820283,-0.016993427,-0.018537059,12.11228604,12.06673492,11.98053554,12.02534925,12.02689288,12.01158383,1.711329292,-0.071234656,,
10,11.018,12.00904203,10.27150768,-0.01129869,-0.094008853,-0.046171861,-0.018083508,0.01854103,0.137733451,12.10305088,12.05521389,12.02712553,11.990501,11.87130858,11.99774334,1.712874344,-0.07138127,,
10,11.019,12.00972823,10.27166365,-0.031721276,-0.047603626,-0.019801995,-0.041965329,0.002619491,-0.002394216,12.05733186,12.02953023,12.05169356,12.00710874,12.01212245,11.97800695,1.715567435,-0.07161493,,
10,11.02,12.01041447,10.27181966,-0.000265231,0.065581181,0.088505218,-0.052711555,0.083157643,0.019939177,11.94483329,11.92190926,12.06312603,11.92725683,11.9904753,12.01014924,1.710557484,-0.07121183,,
10,11.021,12.01110072,10.2719757,0.015347752,-0.058601696,-0.043193628,0.01313419,0.008309038,0.069670034,12.06970241,12.05429434,11.99796653,12.00279168,11.94143068,12.02644847,1.708564778,-0.07103654,,
10,11.022,12.01178698,10.27213177,-0.007919158,0.113567506,-0.103325613,0.022977285,0.030681231,-0.032583374,11.89821947,12.11511259,11.98880969,11.98110575,12.04437035,12.00386782,1.711636792,-0.071296516,,
10,11.023,12.01247324,10.27228788,0.029529964,0.027775046,-0.124811509,0.013949728,-0.032996713,-0.022967355,11.9846982,12.13728475,11.99852351,12.04546996,12.0354406,12.04200321,1.70719685,-0.070885288,,
10,11.024,12.01315952,10.27244402,0.000855242,-0.165929619,0.048575498,-0.01767501,0.012067977,0.070889658,12.17908914,11.96458403,12.03083454,12.00109155,11.94226987,12.01401477,1.711130502,-0.071213372,,
10,11.025,12.01384581,10.27260019,-0.016713971,-0.148583309,0.024157068,0.098932003,0.033578651,0.000387215,12.16242912,11.98968874,11.9149138,11.98026716,12.01345859,11.99713184,1.713028618,-0.071386388,,
10,11.026,12.01453213,10.27275639,0.060288362,0.057574358,0.130538302,-0.014188668,0.058261849,0.012497376,11.95695777,11.88399383,12.0287208,11.95627028,12.00203475,12.07482049,1.703024446,-0.070518146,,
10,11.027,12.01521845,10.27291263,0.026121748,-0.019623458,0.010983097,-0.080818847,-0.01695564,-0.000394962,12.03484191,12.00423535,12.0960373,12.03217409,12.01561341,12.0413402,1.705625934,-0.070818075,,
10,11.028,12.01590477,10.2730689,0.003207257,0.122177344,0.03185493,0.011396287,0.028930907,-0.003946669,11.89372743,11.98404984,12.00450848,11.98697386,12.01985144,12.01911203,1.71030904,-0.071148978,,
10,11.029,12.01659113,10.2732252,-0.005391269,0.030842664,-0.076593136,0.013541636,0.015384932,0.055557126,11.98574847,12.09318427,12.0030495,12.0012062,11.96103401,12.01119986,1.710623315,-0.071206814,,
10,11.03,12.01727749,10.27338153,0.029188352,0.112952766,0.01427647,-0.000911474,0.018071232,0.043423036,11.90432473,12.00300102,12.01818897,11.99920626,11.97385446,12.04646584,1.707205261,-0.07085625,,
10,11.031,12.01796385,10.2735379,0.017157903,-0.017492598,0.028211597,-0.042762752,0.056666599,0.051037662,12.03545645,11.98975226,12.0607266,11.96129725,11.96692619,12.03512176,1.707537782,-0.070943359,,
10,11.032,12.01865021,10.2736943,-0.015045983,0.051452938,-0.092644066,-0.037597101,0.088247279,0.027978581,11.96719728,12.11129428,12.05624731,11.93040293,11.99067163,12.00360423,1.712255387,-0.071323447,,
10,11.033,12.01933661,10.27385073,0.060101758,-0.073373276,-0.026398973,-0.082858722,0.093759169,-0.074053584,12.09270989,12.04573559,12.10219534,11.92557744,12.0933902,12.07943837,1.70204898,-0.07045644,,
10,11.034,12.02002301,10.27400719,0.022329212,0.069160376,0.059287707,0.029091082,-0.074914262,0.09850708,11.95086264,11.96073531,11.99093193,12.09493727,11.92151593,12.04235222,1.706656851,-0.070858954,,
10,11.035,12.02070941,10.27416369,0.040588758,0.197779516,0.050718918,-0.073542115,0.08501098,-0.006797735,11.8229299,11.96999049,12.09425153,11.93569843,12.02750715,12.06129817,1.704547628,-0.070663228,,
10,11.036,12.02139585,10.27432022,0.034034908,-0.114833724,-0.127145469,0.064546922,-0.029563627,0.019455714,12.13622958,12.14854132,11.95684893,12.05095948,12.00194014,12.05543076,1.705751465,-0.070744757,,
10,11.037,12.02208229,10.27447678,0.049943055,-0.042006883,-0.079933057,-0.025666354,-0.067990812,0.026193722,12.06408917,12.10201535,12.04774864,12.0900731,11.99588857,12.07202534,1.702128116,-0.070498735,,
10,11.038,12.02276873,10.27463337,-0.003971402,-0.059445417,-0.07990058,0.087321651,-0.050506093,-0.037645096,12.08221415,12.10266931,11.93544708,12.07327482,12.06041382,12.01879733,1.710193278,-0.07114858,,
10,11.039,12.02345521,10.27479,-0.003542653,-0.031107273,-0.090058979,-0.042550329,0.047167572,-0.021436396,12.05456248,12.11351419,12.06600554,11.97628763,12.0448916,12.01991255,1.710115221,-0.071135606,,
10,11.04,12.02414168,10.27494665,0.041488848,-0.021456469,0.006953431,0.046040948,-0.012926455,0.027430608,12.04559815,12.01718825,11.97810074,12.03706814,11.99671108,12.06563053,1.703515182,-0.070592161,,
10,11.041,12.02482816,10.27510334,-0.025588808,0.069455356,0.061110391,-0.02950161,-0.10210835,-0.027994958,11.95537281,11.96371777,12.05432977,12.12693651,12.05282312,11.99923935,1.712893516,-0.071379541,,
10,11.042,12.02551468,10.27526007,0.007217533,0.01955735,0.024279876,0.008272605,-0.017138345,-0.025203108,12.00595733,12.0012348,12.01724207,12.04265302,12.05071779,12.03273221,1.709096041,-0.071019381,,
10,11.043,12.02620116,10.27541682,0.016257683,0.02241897,0.01852711,-0.036122012,0.012849447,-0.07220049,12.00378219,12.00767405,12.06232317,12.01335171,12.09840165,12.04245884,1.706997018,-0.070876193,,
10,11.044,12.02688769,10.27557361,0.008557959,-0.0391693,-0.039542681,-0.025527946,0.009605685,0.016666906,12.06605699,12.06643037,12.05241564,12.01728201,12.01022079,12.03544565,1.708182191,-0.070967535,,
10,11.045,12.02757423,10.27573043,0.008369272,-0.047771795,-0.150385122,-0.044975853,-0.093086953,-0.12948096,12.07534603,12.17795935,12.07255008,12.12066118,12.15705519,12.0359435,1.708158915,-0.070962786,,
10,11.046,12.02826079,10.27588728,-0.044129472,0.083932645,0.060337037,0.025404622,-0.037711835,-0.047162934,11.94432814,11.96792375,12.00285616,12.06597262,12.07542372,11.98413131,1.715524696,-0.071575134,,
10,11.047,12.02894734,10.27604417,0.047716711,-0.036758519,0.026347765,-0.055493659,0.02457253,0.054745905,12.06570586,12.00259958,12.084441,12.00437481,11.97420144,12.07666405,1.703640737,-0.070533488,,
10,11.048,12.0296339,10.27620108,-0.017939389,0.015016721,-0.087983686,0.053350652,0.081638852,-0.008963091,12.01461718,12.11761758,11.97628325,11.94799505,12.03859699,12.01169451,1.711662942,-0.07125115,,
10,11.049,12.03032049,10.27635803,-0.028758976,-0.092702604,0.159577056,-0.003163797,0.062561059,0.071990093,12.1230231,11.87074344,12.03348429,11.96775943,11.9583304,12.00156152,1.713782408,-0.071397031,,
10,11.05,12.03100709,10.27651501,-0.001035466,0.107268204,0.064712797,0.104923799,0.004048429,-0.002020006,11.92373888,11.96629429,11.92608329,12.02695866,12.0330271,12.02997162,1.709328404,-0.071051041,,
10,11.051,12.03169368,10.27667203,-0.0437393,-0.0798522,0.004003958,-0.018077705,-0.003182162,0.008650267,12.11154588,12.02768973,12.04977139,12.03487585,12.02304342,11.98795438,1.714186417,-0.071494906,,
10,11.052,12.03238032,10.27682907,0.009990768,-0.031817512,0.01920316,-0.01713991,0.013463121,-0.055619989,12.06419783,12.01317716,12.04952023,12.0189172,12.08800031,12.04237109,1.707330013,-0.070889899,,
10,11.053,12.03306691,10.27698615,0.007327124,0.042060488,-0.020517582,0.096896547,0.003184384,-0.004291459,11.99100643,12.0535845,11.93617037,12.02988253,12.03735837,12.04039404,1.708394319,-0.070942941,,
10,11.054,12.03375359,10.27714326,-0.003551465,0.032614247,0.123257681,0.01356608,-0.057817627,0.043689058,12.00113934,11.91049591,12.02018751,12.09157121,11.99006453,12.03020212,1.708911195,-0.07102664,,
10,11.055,12.03444022,10.2773004,-0.004100202,-0.090129433,0.015560156,0.041712916,-0.065902727,0.062857838,12.12456965,12.01888007,11.99272731,12.10034295,11.97158238,12.03034002,1.709479437,-0.071050676,,
10,11.056,12.03512689,10.27745758,-0.021885972,0.017254946,0.030450774,-0.131043231,-0.067749431,0.019948839,12.01787195,12.00467612,12.16617013,12.10287633,12.01517806,12.01324092,1.711218679,-0.071222252,,
